Step,ObjectName,Description,Action,Input,Condition,Reference
1,Text box,"Click the [<Object>] ",Click,,,E Chat SMS bot
2,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
3,Text box,Enter the value [<Data>] in the Field [<Object>],Set,Blanket:Utterance,,E Chat SMS bot
4,Send button,"Click the [<Object>] ",Click,,,E Chat SMS bot
5,Room number message,Assert if [<Object>] is present,assertElementPresent,,,E Chat SMS bot
6,Text box,"Click the [<Object>] ",Click,,,E Chat SMS bot
7,Text box,Enter the value [<Data>] in the Field [<Object>],Set,@176,,E Chat SMS bot
8,Send button,"Click the [<Object>] ",Click,,,E Chat SMS bot
9,How many do you need,Assert if [<Object>] is present,assertElementPresent,,,E Chat SMS bot
10,Text box,"Click the [<Object>] ",Click,,,E Chat SMS bot
11,Text box,Enter the value [<Data>] in the Field [<Object>],Set,@3,,E Chat SMS bot
12,Send button,"Click the [<Object>] ",Click,,,E Chat SMS bot
13,Confirmation message,Assert if [<Object>] is present,assertElementPresent,,,E Chat SMS bot
14,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
